what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285573987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415285574138
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415285578432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285581682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285599621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285606000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285610708
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415285611107
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415285611214
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1415285669276
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1415285766817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1415285772859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415285775925
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415285789686
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1415285793931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285797084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285804636
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1415285804706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285808503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285808593
executed,command,net.sf.jautodoc,1.10.0,"net.sf.jautodoc.commands.AddJavadoc",1415285808597
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415285809602
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415285816079
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415285818639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415285850995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415350474251
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415350556280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1415350570589
